No.,Time,Duration,ScreenX,ScreenY,DurationString,DurationOptions
623,233660,100,1050,468,100,
624,233800,199,922,466,199,
625,234158,239,1065,500,239,
626,234418,239,1064,504,239,
627,234677,618,903,481,618,
628,235355,518,1092,470,518,
629,235953,179,817,487,179,
630,236172,199,913,485,199,
631,236392,738,897,482,738,
632,237149,598,918,478,598,
633,237847,140,291,556,140,
634,238046,100,211,501,100,
635,238246,199,369,599,199,
636,238565,1176,888,475,1176,
637,239761,199,897,474,199,
638,240219,498,277,211,498,
639,240738,319,62,223,319,
640,241097,299,261,226,299,
641,241416,678,85,229,678,
642,242114,279,261,207,279,
643,242413,179,291,197,179,
644,242612,180,95,216,180,
645,242811,199,474,207,199,
646,243051,239,276,226,239,
647,243310,897,84,233,897,
648,244227,419,112,246,419,
649,244705,140,290,231,140,
650,244865,439,282,231,439,
651,245403,179,915,570,179,
652,245603,140,955,596,140,
653,245762,817,898,472,817,
654,246599,180,962,595,180,
655,246799,439,996,586,439,
656,247297,100,984,582,100,
657,247537,160,979,594,160,
658,247716,180,980,561,180,
659,247915,399,961,573,399,
660,248354,339,958,583,339,
661,248733,479,1033,564,479,
662,249231,498,990,582,498,
663,249789,179,1018,593,179,
664,250009,359,1065,599,359,
665,250388,219,1016,591,219,
666,250627,399,965,576,399,
667,251285,698,1033,589,698,
668,252003,179,978,582,179,
669,252202,578,1017,599,578,
670,252820,239,1010,610,239,
671,253199,598,877,707,598,
672,253817,160,890,751,160,
673,253996,100,887,770,100,
674,254116,140,887,754,140,
675,254275,180,888,711,180,
676,254674,319,939,782,319,
677,255013,239,945,794,239,
678,255272,219,911,744,219,
679,255512,479,926,753,479,
680,256010,179,890,769,179,
681,256389,100,854,765,100,
682,256508,339,854,759,339,
683,256927,219,827,736,219,
684,257166,120,959,731,120,
685,257366,279,959,731,279,
686,257665,200,924,761,200,
687,257884,120,914,761,120,
688,258024,239,904,763,239,
689,258283,100,862,806,100,
690,258482,160,845,804,160,
691,258662,180,892,811,180,
692,258861,100,832,762,100,
693,259020,478,813,734,478,
694,259619,140,795,729,140,
695,260117,120,844,695,120,
696,260257,199,852,675,199,
697,260496,139,844,674,139,
698,260755,180,768,663,180,
699,260974,159,249,578,159,
700,261154,279,228,504,279,
701,261473,219,144,576,219,
702,261712,239,84,580,239,
703,261971,100,52,603,100,
704,262091,199,175,655,199,
705,262350,120,353,680,120,
706,262549,179,326,653,179,
707,262769,159,457,674,159,
708,262948,179,498,693,179,
709,263167,100,492,700,100,
710,263447,179,425,505,179,
711,263646,199,352,498,199,
712,263865,299,393,495,299,
713,264244,139,413,579,139,
714,264404,279,371,568,279,
715,264762,259,105,590,259,
716,265042,199,133,534,199,
717,265261,518,115,519,518,
718,265839,498,144,553,498,
719,266437,200,123,665,200,
720,266696,518,208,494,518,
721,267235,239,202,502,239,
722,267494,419,139,529,419,
723,267933,179,223,498,179,
724,268132,179,222,498,179,
725,268351,299,167,528,299,
726,268670,199,161,531,199,
727,269029,299,199,634,299,
728,269587,140,233,768,140,
729,269747,1974,174,759,1974,
730,271741,1515,163,766,1515,
731,273276,180,228,824,180,
732,273575,239,185,874,239,
733,273834,219,133,853,219,
734,274073,199,105,751,199,
735,274293,160,73,744,160,
736,274472,239,70,742,239,
737,274771,299,161,762,299,
738,275090,299,142,778,299,
739,275409,439,95,764,439,
740,275868,279,108,760,279,
741,276167,399,129,775,399,
742,276585,459,169,744,459,
743,277064,219,118,650,219,
744,277303,339,225,634,339,
745,277682,180,226,767,180,
746,277881,159,278,739,159,
747,278081,359,263,729,359,
748,278559,219,227,632,219,
749,278798,239,232,633,239,
750,279058,100,227,634,100,
751,279357,199,313,879,199,
752,279596,140,249,761,140,
753,279756,199,254,726,199,
754,280015,180,252,737,180,
755,280214,419,277,733,419,
756,280653,399,242,763,399,
757,281091,239,267,765,239,
758,281350,179,331,756,179,
759,281610,239,260,748,239,
760,282068,379,270,653,379,
761,282487,499,296,587,499,
762,283005,558,258,582,558,
763,283583,598,261,596,598,
764,284202,259,261,588,259,
765,284501,319,281,537,319,
766,284840,140,256,506,140,
767,284999,219,146,485,219,
768,285238,279,110,478,279,
769,285537,698,53,465,698,
770,286255,598,29,463,598,
771,286873,159,106,455,159,
772,287053,558,68,458,558,
773,287631,179,45,550,179,
774,287830,339,95,557,339,
775,288189,239,122,577,239,
776,288448,1017,71,606,1017,
777,289585,678,51,583,678,
778,290282,219,83,693,219,
779,290621,379,87,658,379,
780,291020,897,92,688,897,
781,291937,758,87,688,758,
782,292715,179,156,657,179,
783,292934,359,61,579,359,
784,293313,100,57,579,100,
785,293432,857,79,673,857,
786,294310,578,89,597,578,
787,294908,439,45,613,439,
788,295406,399,68,644,399,
789,295825,498,67,643,498,
790,296543,259,56,727,259,
791,296822,459,97,724,459,
792,297300,339,38,714,339,
793,297659,419,36,710,419,
794,298098,2393,52,722,2393,
795,300510,399,57,726,399,
796,300929,478,41,633,478,
797,301448,1077,32,740,1077,
798,302544,578,86,731,578,
799,303202,100,140,731,100,
800,303541,140,41,736,140,
801,303700,459,193,732,459,
802,304239,239,8,743,239,
803,304538,379,18,733,379,
804,304936,299,49,827,299,
805,305255,857,79,856,857,
806,306153,359,142,856,359,
807,306532,379,76,560,379,
